,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
120,BC,Brunswick Corporation,64.68,-0.13,-0.20%,"466,109","960,749",5.12B,N/A
121,LEVI,Levi Strauss & Co.,12.76,-0.02,-0.16%,"884,335",1.732M,5.06B,554.78
122,TOL,"Toll Brothers, Inc.",39.74,-0.02,-0.05%,"654,376",2.394M,4.992B,11.51
123,AN,"AutoNation, Inc.",57.02,+0.44,+0.78%,"500,603","935,503",4.973B,16.81
124,WEN,The Wendy's Company,21.99,-0.38,-1.70%,4.269M,2.895M,4.922B,45.62
125,PLNT,"Planet Fitness, Inc.",55.15,-1.32,-2.34%,1.379M,2.19M,4.771B,129.16
126,WH,"Wyndham Hotels & Resorts, Inc.",50.77,+0.17,+0.34%,"557,913",1.056M,4.73B,N/A
127,SKX,"Skechers U.S.A., Inc.",29.77,-0.26,-0.87%,"928,861",1.811M,4.7B,31.84
128,WING,Wingstop Inc.,157.84,+0.48,+0.31%,"336,084","678,398",4.672B,164.42
129,FOXF,Fox Factory Holding Corp.,111.37,+0.08,+0.07%,"162,562","389,257",4.615B,59.94
130,UA,"Under Armour, Inc.",9.60,-0.06,-0.62%,3.469M,8.236M,4.625B,N/A
131,UAA,"Under Armour, Inc.",10.74,-0.10,-0.92%,6.397M,8.868M,4.611B,N/A
132,QRTEB,"Qurate Retail, Inc.",10.42,0.00,0.00%,28,"1,542",4.344B,N/A
133,TPX,"Tempur Sealy International, Inc.",86.30,-1.02,-1.17%,"280,119","737,420",4.45B,23.09
134,TPR,"Tapestry, Inc.",15.93,+0.50,+3.24%,9.369M,6.148M,4.398B,N/A
135,QRTEA,"Qurate Retail, Inc.",10.51,-0.15,-1.41%,5.641M,3.094M,4.381B,N/A
136,NCLH,Norwegian Cruise Line Holdings Ltd.,15.75,+0.41,+2.67%,24.687M,58.969M,4.341B,N/A
137,ALSN,"Allison Transmission Holdings, Inc.",38.03,+0.16,+0.42%,"537,524","939,317",4.305B,10.72
138,YETI,"YETI Holdings, Inc.",49.38,-0.61,-1.22%,"916,395",1.69M,4.297B,63.23
139,HOG,"Harley-Davidson, Inc.",27.96,-0.25,-0.89%,1.696M,4.66M,4.285B,57.06
140,TXRH,"Texas Roadhouse, Inc.",61.24,+0.02,+0.03%,"623,901",1.312M,4.25B,68.89
141,SLGN,Silgan Holdings Inc.,37.83,-0.06,-0.16%,"255,945","634,004",4.195B,16.74
142,DOOO,BRP Inc.,47.80,+1.40,+3.02%,"108,254","128,220",4.17B,25.70
143,DKS,"DICK'S Sporting Goods, Inc.",46.31,+0.04,+0.09%,1.421M,2.583M,4.142B,41.39
144,GPK,Graphic Packaging Holding Company,14.82,+0.08,+0.54%,1.859M,2.704M,4.132B,34.39
145,MUSA,Murphy USA Inc.,140.97,+2.00,+1.44%,"153,946","352,517",4.113B,11.54
146,MAT,"Mattel, Inc.",11.55,-0.14,-1.20%,1.63M,3.808M,4.007B,N/A
147,PVH,PVH Corp.,55.36,+1.75,+3.26%,"884,050",1.782M,3.933B,N/A
148,GIL,Gildan Activewear Inc.,19.61,+0.27,+1.40%,"678,368","801,104",3.882B,N/A
149,VAC,Marriott Vacations Worldwide Corporation,93.38,-1.60,-1.68%,"220,712","427,236",3.834B,N/A
150,PAG,"Penske Automotive Group, Inc.",47.73,+0.50,+1.06%,"186,723","422,244",3.835B,12.30
151,MTH,Meritage Homes Corporation,98.83,-1.34,-1.34%,"344,135","458,601",3.716B,11.43
152,KSS,Kohl's Corporation,23.40,+0.63,+2.77%,9.919M,10.403M,3.691B,42.01
153,CRI,"Carter's, Inc.",84.13,+0.58,+0.69%,"314,519","606,131",3.671B,32.65
154,FTDR,"frontdoor, inc.",42.79,+0.04,+0.09%,"342,505","610,307",3.655B,25.95
155,ARD,Ardagh Group S.A.,15.20,-0.06,-0.39%,"32,128","86,676",3.593B,2.58
156,KBH,KB Home,36.16,-0.14,-0.39%,1.256M,2.135M,3.538B,11.20
157,CNNE,"Cannae Holdings, Inc.",37.52,-0.71,-1.86%,"460,205",1.02M,3.439B,2.41
158,CBD,Companhia Brasileira de Distribuição,12.10,+0.04,+0.33%,"225,423","456,582",3.244B,11.18
159,LCII,LCI Industries,126.93,+0.15,+0.12%,"72,377","138,987",3.193B,30.20
160,TMHC,Taylor Morrison Home Corporation,24.28,-0.11,-0.45%,1.016M,1.827M,3.149B,18.17
161,PZZA,"Papa John's International, Inc.",96.15,-1.46,-1.50%,"350,306","711,085",3.155B,251.04
162,BYD,Boyd Gaming Corporation,27.02,+0.17,+0.63%,"796,711",2.648M,3.01B,N/A
163,FL,"Foot Locker, Inc.",28.73,-0.51,-1.74%,3.238M,2.944M,2.995B,14.73
164,TRIP,"TripAdvisor, Inc.",22.29,+0.03,+0.13%,2.431M,3.951M,2.997B,N/A
165,CWH,"Camping World Holdings, Inc.",33.27,-0.07,-0.21%,1.386M,2.39M,2.948B,N/A
166,HRB,"H&R Block, Inc.",15.11,+0.23,+1.55%,1.285M,3.375M,2.914B,N/A
167,EYE,"National Vision Holdings, Inc.",35.72,-0.25,-0.70%,"265,746","798,028",2.873B,N/A
168,CBRL,"Cracker Barrel Old Country Store, Inc.",119.71,+0.26,+0.22%,"150,930","516,026",2.836B,384.92
169,MDC,"M.D.C. Holdings, Inc.",43.90,+0.03,+0.07%,"387,960","551,180",2.783B,10.77
170,LGIH,"LGI Homes, Inc.",108.94,-0.82,-0.75%,"153,779","351,550",2.733B,13.07
171,DORM,"Dorman Products, Inc.",83.56,+0.32,+0.38%,"109,267","155,060",2.711B,36.03
172,JWN,"Nordstrom, Inc.",17.12,+0.35,+2.09%,14.734M,10.018M,2.688B,N/A
173,CROX,"Crocs, Inc.",39.49,+0.12,+0.30%,"757,320",1.3M,2.664B,22.24
174,GOOS,Canada Goose Holdings Inc.,23.79,+0.16,+0.68%,"631,443",1.424M,2.62B,34.83
175,GOLF,Acushnet Holdings Corp.,34.92,-0.57,-1.61%,"133,473","380,546",2.594B,44.77
176,CPRI,Capri Holdings Limited,17.21,+0.13,+0.76%,1.865M,4.149M,2.587B,N/A
177,WYND,"Wyndham Destinations, Inc.",29.99,+0.17,+0.57%,"602,543",1.244M,2.557B,576.73
178,BZUN,Baozun Inc.,40.23,-0.07,-0.17%,"337,550",1.291M,2.536B,68.19
179,MANU,Manchester United plc,15.18,+0.09,+0.60%,"84,178","197,398",2.498B,N/A
180,SFIX,"Stitch Fix, Inc.",23.50,-0.02,-0.09%,"735,987",2.515M,2.411B,N/A
181,KAR,"KAR Auction Services, Inc.",17.99,+0.03,+0.17%,2.101M,2.599M,2.325B,99.39
182,GT,The Goodyear Tire & Rubber Company,9.89,-0.03,-0.30%,1.32M,5.271M,2.304B,N/A
183,STAY,"Extended Stay America, Inc.",12.88,+0.19,+1.50%,1.358M,2.18M,2.286B,30.67
184,SHAK,Shake Shack Inc.,54.52,+0.65,+1.21%,1.137M,1.413M,2.255B,N/A
185,TPH,"TRI Pointe Group, Inc.",17.26,-0.26,-1.48%,"727,902",1.765M,2.249B,8.72
186,M,"Macy's, Inc.",7.19,+0.22,+3.16%,44.808M,40.504M,2.231B,N/A
187,VC,Visteon Corporation,78.53,-0.56,-0.71%,"336,144","291,369",2.185B,N/A
188,IGT,International Game Technology PLC,10.55,+0.22,+2.13%,1.523M,3.311M,2.161B,N/A
189,GEF,"Greif, Inc.",40.92,+0.11,+0.27%,"119,455","208,919",2.099B,11.54
190,GEF-B,"Greif, Inc.",46.16,+0.09,+0.20%,"3,970","16,493",2.097B,13.01
191,ABG,"Asbury Automotive Group, Inc.",108.55,+0.24,+0.22%,"95,478","241,568",2.094B,13.29
192,WWW,"Wolverine World Wide, Inc.",25.05,+0.04,+0.16%,"300,562","605,065",2.051B,35.68
193,DAN,Dana Incorporated,13.83,+0.13,+0.95%,"748,170",1.557M,1.998B,24.92
194,WGO,"Winnebago Industries, Inc.",59.30,+0.70,+1.19%,"338,305","757,949",1.998B,38.48
195,URBN,"Urban Outfitters, Inc.",20.04,+0.68,+3.51%,2.312M,2.611M,1.96B,N/A
196,SGMS,Scientific Games Corporation,20.51,-0.23,-1.11%,"647,652",1.643M,1.942B,N/A
197,AEO,"American Eagle Outfitters, Inc.",11.68,-0.10,-0.85%,4.594M,7.873M,1.933B,N/A
198,MED,"Medifast, Inc.",162.92,-2.62,-1.58%,"149,154","272,698",1.917B,25.49
199,RRR,"Red Rock Resorts, Inc.",16.22,+0.90,+5.87%,3.388M,2.883M,1.903B,N/A
200,SHOO,"Steven Madden, Ltd.",22.73,-0.16,-0.70%,"531,447","863,015",1.89B,51.08
201,CVCO,"Cavco Industries, Inc.",205.68,-2.47,-1.19%,"22,656","54,501",1.888B,27.09
202,SAH,"Sonic Automotive, Inc.",44.13,-1.24,-2.73%,"514,997","477,377",1.88B,N/A
203,HGV,Hilton Grand Vacations Inc.,22.05,-0.24,-1.08%,"229,295",1.12M,1.876B,22.97
204,FLWS,"1-800-FLOWERS.COM, Inc.",29.13,-0.01,-0.03%,"440,296","731,979",1.873B,47.75
205,OI,"O-I Glass, Inc.",11.75,-0.15,-1.26%,"829,461",2.161M,1.844B,N/A
