,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
369,HBB,Hamilton Beach Brands Holding Company,19.10,-0.65,-3.29%,"42,863","55,869",261.089M,8.76
370,IMMR,Immersion Corporation,8.64,+0.04,+0.47%,"256,983","441,193",232.365M,N/A
371,MIXT,MiX Telematics Limited,9.87,+0.03,+0.30%,"26,867","69,360",207.621M,28.20
372,SQNS,Sequans Communications S.A.,6.81,-0.05,-0.73%,"106,414","290,149",206.135M,N/A
373,DMRC,Digimarc Corporation,15.15,+0.08,+0.53%,"36,180","107,290",191.531M,N/A
374,LYTS,LSI Industries Inc.,6.57,-0.21,-3.10%,"70,715","164,222",172.087M,19.32
375,VOXX,VOXX International Corporation,6.84,+0.20,+3.01%,"39,229","161,269",163.598M,N/A
376,BELFB,Bel Fuse Inc.,12.95,-0.73,-5.34%,"34,133","39,612",157.69M,N/A
377,GSIT,"GSI Technology, Inc.",6.27,+0.07,+1.13%,"15,230","52,141",148.021M,N/A
378,BELFA,Bel Fuse Inc.,12.00,-0.97,-7.48%,"4,638","2,022",161.206M,N/A
379,KVHI,"KVH Industries, Inc.",7.63,+0.09,+1.19%,"50,513","67,233",141.88M,N/A
380,VJET,voxeljet AG,5.75,-0.75,-11.54%,"46,109","39,752",27.807M,N/A
381,PCTI,"PCTEL, Inc.",6.66,-0.06,-0.82%,"78,241","164,579",124.144M,33.13
382,AVNW,"Aviat Networks, Inc.",19.90,-1.09,-5.19%,"21,161","51,009",107.321M,36.78
383,ASYS,"Amtech Systems, Inc.",5.06,+0.11,+2.22%,"94,137","43,709",71.084M,N/A
384,TESS,TESSCO Technologies Incorporated,7.02,-0.26,-3.57%,"64,305","100,736",61.164M,N/A
385,MINDP,"MIND Technology, Inc.",19.12,+0.68,+3.69%,"7,281","4,109",36.041M,N/A
386,IIVIP,II-VI Incorporated,215.70,-12.23,-5.37%,"15,659","8,333",N/A,N/A
387,AVGOP,Broadcom Inc.,"1,174.94",-5.23,-0.44%,"1,545","16,842",N/A,N/A
388,DCT,"Duck Creek Technologies, Inc.",40.00,+13.00,+48.15%,13.133M,13.131M,N/A,N/A
