,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
141,VRS,Verso Corporation,13.76,-0.11,-0.79%,"142,760","268,388",463.295M,2.54
142,AVD,American Vanguard Corporation,14.52,-0.17,-1.16%,"63,309","131,093",438.201M,39.24
143,ASIX,AdvanSix Inc.,13.90,-0.21,-1.49%,"217,490","234,006",389.621M,15.31
144,VHI,"Valhi, Inc.",11.44,+0.81,+7.62%,"35,019","31,069",323.444M,8.60
145,ODC,Oil-Dri Corporation of America,36.37,-1.10,-2.94%,"6,419","13,344",272.176M,16.61
146,MSB,Mesabi Trust,19.90,-0.06,-0.30%,"89,489","71,639",261.088M,9.76
147,CINR,Ciner Resources LP,9.97,-0.56,-5.32%,"40,782","37,193",197.08M,6.85
148,TREC,Trecora Resources,6.36,-0.05,-0.78%,"22,486","66,861",157.187M,N/A
149,ZEUS,"Olympic Steel, Inc.",12.26,+0.18,+1.49%,"25,987","60,061",135.778M,N/A
150,SPPP,Sprott Physical Platinum and Palladium Trust,15.84,-0.18,-1.12%,"41,894","64,639",96.095M,N/A
151,USAP,"Universal Stainless & Alloy Products, Inc.",7.67,+0.22,+2.95%,"3,719","16,693",67.724M,N/A
152,GURE,"Gulf Resources, Inc.",5.99,+0.04,+0.67%,"30,900","24,039",57.009M,N/A
153,IFFT,International Flavors & Fragran,45.00,-0.55,-1.21%,"137,611","64,893",N/A,N/A
154,PBRA,Petróleo Brasileiro S.A. - Petrobras,8.36,-0.15,-1.76%,2.375M,N/A,N/A,N/A
