,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
103,DCI,"Donaldson Company, Inc.",51.98,-0.19,-0.36%,"255,069","518,817",6.556B,26.67
104,RHI,Robert Half International Inc.,56.63,+0.24,+0.43%,"498,023",1.181M,6.492B,17.71
105,IAA,"IAA, Inc.",47.47,+0.94,+2.02%,"878,918",1.978M,6.363B,32.63
106,ACM,AECOM,38.72,-0.10,-0.26%,"554,722",1.38M,6.21B,N/A
107,ESLT,Elbit Systems Ltd.,139.33,-0.02,-0.01%,"18,338","25,255",6.049B,22.27
108,SRCL,"Stericycle, Inc.",64.64,-0.78,-1.19%,"482,577","469,147",5.913B,N/A
109,LECO,"Lincoln Electric Holdings, Inc.",97.44,+0.05,+0.05%,"197,500","339,066",5.785B,27.16
110,MIDD,The Middleby Corporation,102.87,-0.63,-0.61%,"438,121",1.258M,5.721B,19.94
111,NLSN,Nielsen Holdings plc,15.89,+0.02,+0.13%,1.702M,3.497M,5.669B,N/A
112,BWXT,"BWX Technologies, Inc.",59.14,+1.06,+1.83%,"366,664","519,855",5.635B,20.53
113,OSK,Oshkosh Corporation,80.80,-0.23,-0.28%,"383,242","454,001",5.503B,14.89
114,AGCO,AGCO Corporation,73.56,+0.63,+0.86%,"397,639","538,676",5.509B,103.31
115,ITT,ITT Inc.,62.63,+0.12,+0.19%,"335,987","594,841",5.411B,17.23
116,AZEK,The AZEK Company Inc.,37.62,+2.06,+5.79%,1.687M,1.341M,5.421B,N/A
117,VRT,Vertiv Holdings Co.,16.30,-0.36,-2.16%,2.837M,3.143M,5.353B,N/A
118,SITE,"SiteOne Landscape Supply, Inc.",126.24,-0.05,-0.04%,"144,369","363,168",5.574B,54.86
119,WWD,"Woodward, Inc.",84.90,+0.33,+0.39%,"171,449","471,941",5.296B,21.88
120,BLD,TopBuild Corp.,153.44,+0.63,+0.41%,"275,600","490,466",5.076B,24.99
121,TTEK,"Tetra Tech, Inc.",93.91,-0.20,-0.21%,"180,239","275,973",5.061B,36.93
122,AAXN,"Axon Enterprise, Inc.",79.58,-0.83,-1.03%,"258,046",1.154M,5.051B,N/A
123,LSTR,"Landstar System, Inc.",129.49,-1.15,-0.88%,"266,946","319,538",4.97B,30.15
124,MSA,MSA Safety Incorporated,124.61,-0.36,-0.29%,"137,823","280,317",4.845B,31.95
125,MMS,"MAXIMUS, Inc.",77.63,+0.94,+1.23%,"392,015","383,501",4.76B,23.51
126,TNET,"TriNet Group, Inc.",69.79,-0.50,-0.71%,"154,955","341,293",4.697B,15.24
127,ALK,"Alaska Air Group, Inc.",37.68,-0.11,-0.29%,1.843M,3.483M,4.659B,81.38
128,SNDR,"Schneider National, Inc.",25.98,+0.03,+0.12%,"400,781","661,896",4.607B,27.76
129,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",81.21,+3.89,+5.03%,"87,343","106,482",4.527B,18.29
130,CW,Curtiss-Wright Corporation,108.16,+1.25,+1.17%,"210,796","326,368",4.497B,18.13
131,SSD,"Simpson Manufacturing Co., Inc.",102.98,-0.01,-0.01%,"136,399","250,712",4.477B,28.24
132,MAN,ManpowerGroup Inc.,76.93,-0.26,-0.34%,"324,826","732,376",4.467B,20.51
133,MRCY,"Mercury Systems, Inc.",79.89,+0.24,+0.30%,"184,187","515,315",4.442B,51.21
134,JOBS,"51job, Inc.",65.94,-1.89,-2.79%,"137,661","167,695",4.428B,38.97
135,FCN,"FTI Consulting, Inc.",118.56,-1.06,-0.89%,"538,783","537,560",4.339B,23.17
136,AYI,"Acuity Brands, Inc.",109.04,+0.61,+0.56%,"161,269","657,601",4.322B,15.99
137,EXPO,"Exponent, Inc.",82.38,-0.70,-0.84%,"143,649","263,095",4.253B,54.20
138,CAE,CAE Inc.,15.92,-0.04,-0.25%,"360,082","535,617",4.23B,15.92
139,FLS,Flowserve Corporation,31.98,+0.17,+0.53%,1.048M,1.403M,4.163B,28.76
140,TKR,The Timken Company,55.37,+0.23,+0.42%,"341,459","649,682",4.158B,13.18
141,EME,"EMCOR Group, Inc.",75.69,-0.65,-0.85%,"231,106","384,768",4.156B,26.36
142,AER,AerCap Holdings N.V.,31.70,0.00,0.00%,"837,415",1.458M,4.111B,3.77
143,CFX,Colfax Corporation,34.54,-0.01,-0.03%,"514,262",1.13M,4.089B,N/A
144,WMS,"Advanced Drainage Systems, Inc.",56.88,-0.75,-1.30%,"307,986","462,895",3.956B,43.82
145,RBC,Regal Beloit Corporation,97.51,-0.77,-0.78%,"228,034","251,217",3.988B,24.97
146,AAN,"Aaron's, Inc.",58.46,+0.05,+0.09%,"320,268","854,042",3.925B,N/A
147,SPCE,"Virgin Galactic Holdings, Inc.",18.55,-0.22,-1.17%,7.748M,18.602M,3.903B,N/A
148,AL-PA,Air Lease Corporation,22.68,-0.32,-1.39%,"19,072","28,114",3.83B,4.38
149,ASGN,ASGN Incorporated,72.87,+0.27,+0.37%,"131,866","318,515",3.826B,20.48
150,TFII,TFI International Inc.,43.11,-0.28,-0.65%,"329,856","168,620",3.786B,N/A
151,MSM,"MSC Industrial Direct Co., Inc.",67.85,-0.31,-0.45%,"364,625","531,142",3.771B,14.22
152,CFXA,Colfax Corporation,146.80,-0.10,-0.07%,"2,928","18,660",3.778B,N/A
153,UNF,UniFirst Corporation,197.84,-1.51,-0.76%,"33,251","77,522",3.737B,25.17
154,RXN,Rexnord Corporation,30.94,+0.31,+1.01%,"677,151","783,603",3.733B,22.68
155,AWI,"Armstrong World Industries, Inc.",76.96,+0.18,+0.23%,"302,657","466,387",3.683B,N/A
156,PSN,Parsons Corporation,36.42,-0.14,-0.38%,"121,016","286,166",3.668B,34.36
157,STN,Stantec Inc.,32.59,+0.21,+0.65%,"62,432","94,463",3.647B,71.16
